"species","regime","depth","atom13C"
"Dictyota pinnatifida","N1",20,1.617
"Halimeda opuntia","N1",20,1.212
"Turfalgae","N1",20,1.439
"Red mat","N1",20,1.368
"Red hairy","N1",20,1.972
"Black balls","N1",20,1.527
"Orange mat","N1",20,1.132
"Poritis asteriodes","N1",20,1.252
"Madracis mirabilis","N1",20,1.329
"Aka","N1",20,1.094
"CCA","N1",20,1.206
"Lobophora variegata","N2",20,1.269
"Dictyota pinnatifida","N2",20,1.561
"Halimeda opuntia","N2",20,1.171
"Turfalgae","N2",20,1.404
"Red mat","N2",20,1.511
"Red hairy","N2",20,1.489
"Black balls","N2",20,"NA"
"Orange mat","N2",20,1.133
"Poritis asteriodes","N2",20,1.29
"Madracis mirabilis","N2",20,1.436
"Aka","N2",20,1.086
"CCA","N2",20,1.24
"Lobophora variegata","N3",20,1.235
"Dictyota pinnatifida","N3",20,1.474
"Halimeda opuntia","N3",20,1.187
"Turfalgae","N3",20,1.499
"Red mat","N3",20,1.564
"Red hairy","N3",20,1.953
"Black balls","N3",20,2.071
"Orange mat","N3",20,1.154
"Poritis asteriodes","N3",20,1.098
"Madracis mirabilis","N3",20,1.381
"Aka","N3",20,1.086
"CCA","N3",20,1.203
"Lobophora variegata","C",20,1.09
"Dictyota pinnatifida","C",20,1.089
"Halimeda opuntia","C",20,1.085
"Turfalgae","C",20,1.089
"Red mat","C",20,1.095
"Red hairy","C",20,1.08
"Black balls","C",20,1.09
"Orange mat","C",20,1.1
"Poritis asteriodes","C",20,1.094
"Madracis mirabilis","C",20,1.091
"Aka","C",20,1.083
"CCA","C",20,1.086
"Lobophora variegata","N1",20,1.243
"Dictyota pinnatifida","N1",20,1.454
"Halimeda opuntia","N1",20,1.189
"Turfalgae","N1",20,1.246
"Red mat","N1",20,1.293
"Red hairy","N1",20,1.515
"Black balls","N1",20,1.329
"Orange mat","N1",20,1.795
"Poritis asteriodes","N1",20,1.211
"Madracis mirabilis","N1",20,1.474
"Aka","N1",20,1.085
"CCA","N1",20,1.22
"Lobophora variegata","N2",20,1.245
"Dictyota pinnatifida","N2",20,1.482
"Halimeda opuntia","N2",20,1.176
"Turfalgae","N2",20,1.17
"Red mat","N2",20,1.31
"Red hairy","N2",20,1.681
"Black balls","N2",20,1.257
"Orange mat","N2",20,1.354
"Poritis asteriodes","N2",20,1.192
"Madracis mirabilis","N2",20,1.403
"Aka","N2",20,1.084
"CCA","N2",20,1.22
"Lobophora variegata","N3",20,1.228
"Dictyota pinnatifida","N3",20,1.433
"Halimeda opuntia","N3",20,1.155
"Turfalgae","N3",20,"NA"
"Red mat","N3",20,1.441
"Red hairy","N3",20,1.674
"Black balls","N3",20,1.198
"Orange mat","N3",20,1.175
